src,tgt
cimer,merci
uc,cul
oide,doigt
veuch,cheveux
oilpe,poil
bleta,table
iencli,client
scalpa,pascal
tismé,métis
ainf,faim
al,là
ap,pas
asse,ça
auche,chaud
pesa,sape
barjo,jobard
bébar,barber
beflan,flambe
béflan,flamber
bégère,gerber
béton,tomber
beubar,barbe
beuje,jambe
blarfe,fomblard
blèmepro,problème
brelic,calibre
bylka,kabyle
cainfri,africain
cancevas,vacances
carna,arnaquer
cegar,garce
céhusse,sucer
césu,sucer
cevi,vice
chécra,cracher
chéla,lâcher
chetron,tronche
cheuri,riche
cistera,raciste
croma,macro
dasse,sida
deblé,bled
dékis,déguisé
dèp,pédé
deuspi,speed
diksa,sadique
donbi,bidon
donfe,à fond
drepou,poudre
tanj,gitan
euf,feu
euj,jeu
fechnou,chnouf
feukeu,flic
ficha,affiche
fonbou,bouffon
gagedé,dégage
golmon,mongol
gossebo,beau gosse
greum,maigre
guedra,drague
guédra,draguer
guédro,drogué
gueuchla,chlague
gueus,string
gueuta,tag
guezmère,merguez
ienb,bien
insse,sein
ive,vie
joibour,bourgeois
kéblo,bloqué
keco,coke
kène,niquer
kepon,punk
keuf,flic
keussed,sac
kisdé,déguisé
lacelle,celle-là
lanceba,balance
larfeuille,feuillard
lassedeg,dégueulasse
lassui,celui-là
lawis,celui-là
lèrega,galère
leurdi,dealer
leust,style
lopesa,salope
louze,zoulou
meuca,came
mifa,famille
nesbi,business
nétour,tourner
neujeu,jeune
neuthu,thune
nombo,bonhomme
oite,toi
ouèj,jouer
péauche,choper
pedo,dope
péfli,flipper
pefra,frapper
phonetel,téléphone
pineco,copine
portenawaque,n'importe quoi
poteca,capote
pouilledé,dépouiller
quesca,casque
rabza,arabe
recui,cuir
rep,père / peur
reurti,tireur
reusta,star
ripa,paris
rotka,carotte
sketba,basket
staïve,c'est ta vie
starco,costard
steupo,poste
stocma,mastoc
stoko,costaud
stombe,baston
stremon,monstre
sebu,bus
sèpe,pisser
sépi,pisser
seuf,fesse
seultout,tout seul
tuigra,gratuit
tarba,bâtard
tcheubi,bitch
teboi,boîte
téfri,effriter
tehon,honte
teillebou,bouteille
tèté,tête
teub,bite
teuche,chatte
tièpe,pitié
z'y ave,vas-y
zedou,douze
zeillo,oseille
zermi,misère
zessegon,gouzesse
zeti,tise
zéti,tiser
zomblou,bouson
zonpri,prison
tébi,bite
beubard,barbe
beuj,jambe
beur,arabe
blempro,problème
bleric,calibre
cainri,américain
charclo,clochard
chébran,branché
aç,ça
cacedédi,dédicacer
carrouf,carrefour
celarvi,vicelard
chéchère,chercher
cimère,merci
dar,hard
delbor,bordel
demère,merde
dix-keusse,sac
donf,à fond
euk,queue
feuchnou,chnouf
fonceder,défoncer
garetteci,cigarette
greumé,maigre
guedro,drogue
gueuche,drogué
gueustri,string
ionf,fion
kecla,claque
kéner,niquer
keuch,chèque
keusdi,dix-keusse
keusse,maigre
lauss,salaud
leusti,style
mécra,cramé
meda,amsterdam
meuge,gramme
mif,famille
nawache,chinois
nédo,donner
nimportenawak,n’importe quoi
péfra,frapper
pésa,habiller
peusli,slip
piépa,papier
quécro,croquer
rabzouz,maghrébin
razdep,pédéraste
rempes,parents
résoi,soirée
ronneda,mère
scleum,musclé
scredi,discret
seul-tout,tout seul
sticmi,mystique
stomba,baston
tainpu,putain
tarmi,mitard
tèce,cité
tefou,foot
tèje,jeter
tepo,pote
tera,femme
teshmi,policier
teté,tête
tétrai,traître
tiek,quartier
tiépi,pitié
tiex,quartier
timp,pute
reul,lourd
kom ass,comme ça
ach,chat
ainme,main
ainp,pain
anj,gens
anss,sang
as,ça
ascom,comme ça
av,va
bab,toubab
béjèr,gerber
belpou,poubelle
beujan,jambe
bilka,kabyle
bizon,zombie
blarf,faiblard
blèm,problème
blèmpro,problème
bolos,lobotomisé
bouffe,nourriture
brechan,chambre
breuhar,arbre
bujgra,grabuge
cajbra,braquage
cajtru,trucage
calbo,bocal
camaro,marocain
cansva,vacances
cantsin,cinquante
cartri,tricard
casdédi,dédicace
céanf,français
cefran,france
cepla,place
charmou,mouchard
chébou,boucher
chéchèr,chercher
chéclo,clocher
chécou,coucher
chécro,crochet
chedou,douche
chémou,se moucher
chètfour,fourchette
chetor,torche
chétor,torcher
chétou,toucher
cheuva,vache
chichon,haschisch
chirdé,déchirer
chonbou,bouchon
cimèr,merci
comac,comme ça
costla,lacoste
croutchou,choucroute
curpi,piqûre
dalpé,pédale
darcho,chaudard
dassbi,bidasse
dass,sida
déclan,clandestin
demèr,merde
deul,laide
diban,bandit
diora,radio
djig,gadji
doca,cadeau
donf (à ~),à fond
dreu,poudre
dular,lardu
èf,fais
einss,seins
enlec,enculé
enlécu,enculé
eude,deux
euv,veux
farca,cafard
fébou,bouffer
féca,café
fégri,griffer
femme bonne,bonne femme
feugri,griffe
feuneu,neuf
feuta,taf
feuti,tifs
feutou,touffe
fiaspou,pouffiasse
fonhoub,bouffon
gajdé,dégage
garba,bagarre
gléhan,anglais
gleuré,règles
gnolba,bagnole
gomchoui,chewing-gum
gomé,mégot
gosbo,beau gosse
goutdé,dégoûté
greune,nègre
guéfour,[re]fourguer
guélar,larguer
gueudro,drogue
gueulan,langue
gueuldé,dégueule
gueute,tag
guez,merguez
guezmèr,merguez
ide,dis~dit
ik,qui
inf,fin
inve,vin ; vingt
janhar,argent
j'aveuri,j'arrive
jéman,manger
jeular,large
jeura,rage
jévan,vanger
jonpi,pigeon
jourbon,bonjour
kébra,braquer
kébri,briquet
kécro,croquer
kéni,niquer
képa,paquet
képar,parquet
képi,piquer
képlan,planquer
kesmo,smoker ; fumer
kétru,truquer
keuco,coke ; cocaïne
keufri,fric
keul,look
keulou,look
keuplan,planque
keupon,punk
keurblo,bloqueur
keuska,casque
keussin ~ keuss,cinq
keusti,stick
kinf,africain
là,celle - celle-là
ladma,malade
lass,celui-là ; celle-là
lébran,branler
légueu,gueuler
lépar,parler
lépou,poulet
lerga,galère
lètbou,boulette
lètbran,branlette
leurbran,branleur
linma,malin
lispo,police
lopsa,salope
loss,salaud
louz,zoulou
luc,cul
luss,salut
lussa,salut
manchdi,dimanche
méca,camé
meubou,boom
mirdo,dormir
mirvo,vomir
miyfa ~ mifa,famille
mizecheu,chemise
moutma,mammouth
naouach,chinois
narco,connard
nasco,connasse
néco,connaître
nètlu,lunettes
neubo,bonne
neuco,conne
neuski,skin[head]
neutu,tune
noichi,chinois
nonca,canon
nouchma,manouche
onb,bon
onc,con
ouad,doigt
ouak,quoi
ouate,toi
ouatre,trois
pécou,couper
péla,appel
péoch,choper
pessa,saper
péta,taper
peuclo,clope
peucran,crampe
peudo,dope
peupi,pipe
peussa,sape
peussou,soupe
peuta,tape
peuza,zappe
peuzu,zup
péza,zapper
pidestu,stupide
pinco,copain
pink,copain
podra,drapeau
portnawak,n'importe quoi
potka,capote
rabzou,arabe
rajvi,virage
rampe,parents
rantka,quarante
ravma,marave
rebié,bière
reboi,boire
recdi,direct
refré,frère
reïzo,oreilles
repié,pierre
ress,soirée
rètba,barrette
reude,dire
reumé,mère
reumo,mort
reupé,père
reussoi,soir
reutu,voiture
roblé,blaireau
rocma,maroc
roheu,euro
roneda,darone
roro,or
santsoi,soixante
scarla,lascar
scrèd,discret
scrédi,discret
sep,pisser
séca,casser
sépin,pincer
sètdi,dix-sept
sètsu,sucette
seuca,casse
seucor,corse
seudi,dix
seugu,gus
seukè,caisse
seul,laisse
seultou,tout seul
seursu,suceur
seussi,six
seusso,sauce
silfa,facile
simèr,merci
sinepi,piscine
sistra,raciste
skèt,basket
sketka,casquette
skeudi,disque
skiwi,whisky
slarvi,vicelard
smandou,doucement
sonepèr,personne
songar,garçon
sonpoi,poisson
stachmou,moustache
stébou,booster
steur,inspecteur
stikmou,moustique
stikpla,plastique
stoco,costaud
stonba,baston
tangi,gitan
tass,pétasse
tatpa,patate
tcheb,bitch
tèc,écouter
tèc (à ~),à côté
téco (à ~),à côté
técou,écouter
teïbou,bouteille
tèj,jeter
telmor,mortel
tep,péter
téplan,planter
tépoin,pointer
téra,raté
téssan,santé
teubi,bite
teucrou,croûte
teuh,shit
teuhui,huit
teup,pute
teupor,porte
teurinspect,inspecteur
teussé,sept
teuvi,vite
tiécar,quartier
tiéchan,chantier
tinma,matin
tinpu,putain
tisgra,gratis
tobien,bientôt
tocou,couteau
togué,ghetto
tonbou,bouton
toncar,carton
torzqua,quatorze
tosma,matos
tospor,portos
toubab,babtou
touzpar,partouse
treuka,quatre
trome,métro
tupoin,pointu
turve,voiture
up,pue
vaïtra,travail
valcheu,cheval
varba,bavard
varcreu,crevard
vatsa,savate
vélos,lovés
verlan,à l'envers
veski,esquiver
vesso,sauver
vilsi,civil
vurba,bavure
yancli,client
yampé,payant
yasca,caillasse
yatchbi,bitch
yébi,billet
yèch,chier
yégri,griller
yenb,bien
yench,chien
yépé,payer
yèrcui,cuillère
yeucou,couille
yeuf,feuille
yeufi,fille
yeurtu,tueur
yeuv,vieux
yeuz,yeux
yoncou,couillon
youca,caillou
youv,voyou
youvoi,voyou
zébé ~ zéber,baiser
zeblou,blouse
zéco,causer
zèrmi,misère
zèsgon,gonzesse
zeudo,dose
zeudou,douze
zeugoin,goinze
zeuhon,onze
zeukin,quinze
zeulou,loose
zeussé,seize
zeuti,tise
zeutou,partouze
zeutré,treize
zik,musique
zikmu,musique
zinc,cousin
zincou,cousin
zine,cousine
zinecou,cousine
zness,business
zneufdi,dix-neuf
zonblou,blouson
zonga,gazon
zonmé,maison
zonré,raison
zonzon,prison
zuitdi,dix-huit
z'y,av - vas-y
à oilpé,à poil
zeb,herbe
ça com,comme ça
garo,cigarette
zic,musique
zique,musique
toupar,partout
touzepar,partouze
tréren,rentrer
upe,puer
vailletra,travailler
vesqui,esquiver
vessau,sauver
veuche,cheveu
vilci,policier en civil
yèche,chier
yecou,couille
yeuc,couille
yeuma,argent
yeuve,vieux
zèbe,baise
zéber,baiser
ziente,tunisien
yasca,argent
roneda,mère
ripas,paris
téra,rater
anss,cent
beuhère,herbe
hène,nez
cheub,bouche
teufé,fête
keut,truc
garettecis,cigarette
ché-fla,flasher
rotte-ca,carotter
réssoi,soirée
keus,sac
deum,merde
eub,beu
beurette,arabe
béjer,gerber
z'y va,vas-y
ça comme,comme ça
besbar,barbès
géro,roger
lontou,toulon
nyso,sony
ryfleu,prison de fleury-mérogis
treuillmon,montreuil
aller se faire sébai,aller se faire baiser
ascomme,comme ça
avoir la gera,avoir la rage
avoir reupe,avoir peur
balpeau,rien
barjot,fou
barlou,loubard
bercha,chabert
beurflant,flambeur
bilmo,téléphone portable
bléca,gens à la mode
brelica,pistolet
béger,vomir
cainf,africain
carlass,voyous
cecla,"classe, élégant"
celpu,pucelle
cercon,concert
ceuvi,vice
charclot,clochard
chelaouam,lâche-moi
cheri,riche
cheube,blanche
cheublan,blanche
cheufla,un effet puissant
chosekek,quelque chose
chtonmi,micheton
chécat,cachet
chèmar,marché
chéper,perché
clepo,cigarette
cobra,braquage
comme un ouf,intensivement
cromi,micro
dix same,samedi
domb,bidon
dombi,bidon
drauper,policier en civil
dèk,policier
décon,"policier ,  c.r.s."
en bouldé,"en groupe ,  en masse"
en screud,discrètement
enve,vent
faire iech,faire chier
faire le nomebo,se prendre pour quelqu’un d’important
faire le tarpet,faire le guet
faire nétour,faire tourner
faire tiep,faire pitié
ferme ta leug,ferme ta gueule
fermer sa cheub,fermer sa bouche
feuckeu,flic
feusni,sniff
fonb,bouffon
félar,portefeuille
gage dé,va-t’en
ganmor,amour
garde à uv,garde à vue
garette,cigarette
geoibour,bourgeois
geonpi,pigeon
gépi,pigé
gleurés,règles
gommechoui,chewing-gum
greuné,africain
guefrin,vêtement
guétifa,fatigué
guétupor,portugais
gébou,bouger
géman,manger
id,dit
iech,chier
ienv,viens
ieum,mieux
joubi,bijou
karna,arnaquer
kelfi,policier
keucra,crack
keuse,sec
kseu,ecstasy
laisse béton,laisse tomber
larfou,foulard
lausse,salaud
lebs,les boules
lepar,parler
lervan,verlan
les lebous,les boules
leug,gueule
lobout,boulot
losty,stylo
lousja,jaloux
lusse,salut
là-luice,celui-là
manwalk,walkman
manès,cinéma
manéci,cinéma
mefa,femme
mellejus,jumelles
menra,amener
meug,gramme
meurfu,fumeur
mideu,demi-gramme
mirdor,dormir
moka,came
molgon,imbécile
narbo,agréable
narca,journal
narpi,vin
neuchié,salope
neuvè,veine
nobnob,bonbon
noc,con
noiche,chinois
nonsi,sinon
népor,porte-monnaie
oinich,chinois
om,mot
pionchamp,champion
portenawak,n’importe quoi
portné,porte-monnaie
prendre la tetée,prendre la tête
péta l’keum stylé,frimer
queban,banque
québlo,bloquer
quécla,frapper
queuché,chèque
queuman,manque
ravchou,voler
reaupoi,niquer
retou,tour
retsiga,cigarette
reun’s,africain
reus,euros
rien à séca,indifférence
rima,mari
rip,pourri
ro,or
rondeda,mère
seca,casse
secore,corse
seca oit,casse-toi
s’en battre les yeuks,s’en ficher
sclums,muscles
semou,bière
settca,cassette
skema,voler
smendou,doucement
stepo,poste
stevé,veste
sub,bus
tange,gitan
tarmos,motards
tebie,bite
tecar,carte
tefri,frites
tej,jeter
tejer,expulser
témon,angoissant
tépré,prêter
teuchou,injection
teufeur,fêtard techno
teuflo,eau
teumon,progressif de la drogue
tieks,quartier
tiekson,quartier
tiéquar,"quartier, cité"
tronci,citron
tu me les séca,tu me les casses
ta leug !,tu me les casses
de chez nawouak,n’importe quoi
debléman,paysan
deron,ronde
n'importe nawak,n’importe quoi
petri,lsd
petri,rêve
péta l'keum stylé,frimer
reb,bière
rebier,bière
remp,parent
reun's,personne noire
réféa,affaires
réti,tirer
s'en battre les yeuks,s'en battre les couilles
se faire chirder,se faire arrêter
se fonceder,se défoncer
se réti,se tirer
se téchou,se shooter
se vésau,se sauver
teurscou,scooter
teuschmi,schmit
teush,haschich
teusha,chance
teushi,haschich
tomo,moto
tosh,haschich
toshi,haschich
trelo,l’autre
treum,métro
téflu,mentir
toko,trac
teum,téma
zebi,juron maghrébin
zarma,soi-disant
zonmai,maison
tchoin,prostituée
tchoin,fille facile
michto,michetonneuse
à donf,à fond
à la noc,à la con
à oilp,à poil
zy va,j’y vais
qui-ne,niquer
riquiqui,petit
cheloul,chelou
dégun,personne
gavé,beaucoup / très
nwar,noir
ça ave ?,ça va ?
être dans la derme,être dans la merde
